poi_name,main_poi,poi_type,poi_category,city,heat_score,source_text,source_type,confidence
新疆了,新疆了,其他,导航类,新疆,2165.0,已经开始期待五月的新疆了😭真的太美了,post_title,0.85
香港直达南昌的高铁，被震惊到了,香港直达南昌的高铁，被震惊到了,其他,导航类,香港,5170.0,第一次坐香港直达南昌的高铁，被震惊到了,post_title,0.85
纽约的尽头,纽约的尽头,其他,导航类,纽约,107.0,超爱长岛 | 一直向东你就到了纽约的尽头,post_title,0.85
清迈｜想玩水不一定要去海边,清迈｜想玩水不一定要去海边,景点,导航类,清迈,117.0,清迈｜想玩水不一定要去海边,post_title,0.85
阿那亚买手店也太好逛啦🤭该空着箱子来,阿那亚买手店也太好逛啦🤭该空着箱子来,其他,导航类,阿那亚,125.0,阿那亚买手店也太好逛啦🤭该空着箱子来,post_title,0.85
济州岛的照片 (^_^),济州岛的照片 (^_^),景点,导航类,济州岛,2810.0,一些济州岛的照片 (^_^),post_title,0.85
新西兰不愧是兵家不争之地,新西兰不愧是兵家不争之地,其他,导航类,新西兰,7615.0,新西兰不愧是兵家不争之地🇳🇿,post_title,0.85
鼋头渚樱花今日实况，附保姆级攻略,鼋头渚樱花今日实况，附保姆级攻略,其他,导航类,鼋头渚,1781.0,鼋头渚樱花今日实况，附保姆级攻略,post_title,0.85
圣米歇尔山,圣米歇尔山,景点,导航类,圣米歇尔山,4743.0,总有一天你会来到圣米歇尔山⛰️,post_title,0.85
三亚｜爱一万次海边的日落,三亚｜爱一万次海边的日落,景点,导航类,三亚,4334.0,三亚｜爱一万次海边的日落,post_title,0.85
吉隆坡双子塔#东南亚旅游 #吉隆坡双子塔,吉隆坡双子塔#东南亚旅游 #吉隆坡双子塔,其他,导航类,吉隆坡,3925.0,吉隆坡双子塔#东南亚旅游 #吉隆坡双子塔 #,post_title,0.85
